TimestampUTC,URL,Method,QueryOrNavigation,Outcome,ExactPhraseFound,LiveStatusTag,ErrorNotes
2026-09-05T01:61:00Z,https://www.baidu.com/s?wd=%22Zazie%20Productions%22,fetch_page,Baidu probe,Accessible; organic results NOT extractable server-side,,access-test,
2026-09-05T01:62:00Z,https://www.sogou.com/web?query=%22Zazie%20Productions%22,fetch_page,Sogou probe,BLOCKED (antispider captcha),,access-test,
2026-09-05T01:63:00Z,https://www.so.com/s?q=%22Zazie%20Productions%22,fetch_page,360 Search (So.com) probe,WORKED,,access-test,
2026-09-05T01:64:00Z,sm.cn (mobile app-only; no public web SERP),fetch_page,Shenma probe,Not testable via web,,access-test,
2026-09-05T01:65:00Z,https://search.naver.com/search.naver?query=%22Zazie%20Productions%22,fetch_page,Naver probe,Accessible; NO exact-name organic results,,access-test,
2026-09-05T01:66:00Z,https://search.daum.net/search?q=%22Zazie%20Productions%22,fetch_page,Daum probe,Accessible; zero organic results,,access-test,
2026-09-05T01:67:00Z,https://search.nate.com/search/all?q=%22Zazie%20Productions%22,fetch_page,Nate probe,Accessible; zero organic results,,access-test,
2026-09-05T01:68:00Z,terms.naver.com / dict.naver.com (via SERP tabs),fetch_page,NAVER Encyclopedia surface probe,No exact-name records,,access-test,
2026-09-05T01:69:00Z,https://search.seznam.cz/?q=%22Zazie+Productions%22,fetch_page,Seznam probe,WORKED (own full-text index),,access-test,
2026-09-05T01:70:00Z,https://coccoc.com/search?query=%22Zazie%20Productions%22,fetch_page,Coc Coc probe,Unreachable from sandbox,,access-test,
2026-09-05T01:71:00Z,https://petalsearch.com/search?query=%22Zazie%20Productions%22,fetch_page,Petal Search probe,Unreachable,,access-test,
2026-09-05T01:72:00Z,https://yandex.com/search/?text=%22Zazie%20Productions%22,fetch_page,Yandex (regional domains yandex.ru/.com/.tr) probe,BLOCKED (SmartCaptcha) - covered via Mail.ru path,,access-test,
2026-09-05T01:73:00Z,https://go.mail.ru/search?q=%22Zazie+Productions%22,fetch_page,Mail.ru Search probe,WORKED (Yandex-backed access path),,access-test,
2026-09-05T01:74:00Z,https://nova.rambler.ru/search?query=%22Zazie+Productions%22,fetch_page,Rambler probe,BLOCKED (Yandex SmartCaptcha),,access-test,
2026-09-05T01:75:00Z,https://search.goo.ne.jp/web.jsp?MT=%22Zazie%20Productions%22,fetch_page,Goo probe,Unreachable from sandbox,,access-test,
2026-09-05T01:76:00Z,https://search.yahoo.co.jp/search?p=%22Zazie%20Productions%22,fetch_page,Yahoo! JAPAN probe,WORKED,,access-test,
2026-09-05T01:77:00Z,https://search.infoseek.co.jp/Web?qt=%22Zazie%20Productions%22,fetch_page,Rakuten Infoseek probe,Unreachable from sandbox,,access-test,
2026-09-05T01:78:00Z,https://search.biglobe.ne.jp/web?q=%22Zazie+Productions%22,fetch_page,BIGLOBE Search probe,DEAD endpoint ('Not Found'),,access-test,
2026-09-05T01:79:00Z,https://www.excite.co.jp/search/Web?query=%22Zazie+Productions%22,fetch_page,Excite JAPAN (excite.co.jp) probe,DISCONTINUED (404),,access-test,
2026-09-05T01:80:00Z,https://search.walla.co.il/?q=%22Zazie+Productions%22,fetch_page,Walla! Search probe,WORKED,,access-test,
2026-09-05T01:81:00Z,https://www.search.ch/?q=%22Zazie+Productions%22,fetch_page,Search.ch probe,WORKED; no relevant hits,,access-test,
2026-09-05T01:82:00Z,https://www.najdi.si/search.jsp?q=%22Zazie+Productions%22,fetch_page,Najdi.si probe,Accessible; query dropped to portal home,,access-test,
2026-09-05T01:83:00Z,https://pesquisa.sapo.pt/?q=%22Zazie+Productions%22,fetch_page,SAPO probe,Unreachable from sandbox,,access-test,
2026-09-05T01:84:00Z,https://search.rediff.com/dirsrch/default.asp?MT=%22Zazie+Productions%22,fetch_page,Rediff probe,Unreachable from sandbox,,access-test,
2026-09-05T01:85:00Z,https://egerin.com/search?q=%22Zazie+Productions%22,fetch_page,Egerin probe,SEARCH ENDPOINT NON-FUNCTIONAL,,access-test,
